Humidity (%),Temperature (*C),Light Intensity,Time
46.0,23.0,10.0,09:04:32
46.0,23.0,10.0,09:05:03
46.0,23.0,10.0,09:05:33
46.0,23.0,1.0,09:06:04
60.0,24.1,10.0,09:06:35
45.0,24.5,10.0,09:07:05
44.0,24.1,10.0,09:07:36
44.0,23.8,10.0,09:08:06
44.0,23.6,10.0,09:08:37
44.0,23.6,10.0,09:09:07
45.0,23.5,10.0,09:09:38
45.0,23.4,10.0,09:10:08
46.0,23.4,10.0,09:10:39
65.0,24.0,10.0,09:11:10
45.0,25.3,10.0,09:11:40
43.0,24.9,10.0,09:12:11
44.0,24.4,10.0,09:12:41
44.0,24.2,10.0,09:13:12
44.0,24.0,10.0,09:13:42
44.0,23.8,10.0,09:14:13
45.0,23.7,10.0,09:14:43
45.0,23.6,10.0,09:15:14
45.0,23.6,10.0,09:15:45
45.0,23.5,10.0,09:16:15
45.0,23.5,10.0,09:16:46
45.0,23.5,10.0,09:17:16
45.0,23.5,10.0,09:17:47
45.0,23.4,10.0,09:18:17
45.0,23.4,7.0,09:18:48
46.0,23.4,8.0,09:19:18
46.0,23.4,8.0,09:19:49
46.0,23.4,8.0,09:20:20
46.0,23.4,8.0,09:20:50
46.0,23.5,8.0,09:21:21
46.0,23.5,8.0,09:21:51
46.0,23.5,8.0,09:22:22
46.0,23.5,8.0,09:22:52
46.0,23.5,8.0,09:23:23
46.0,23.5,8.0,09:23:53
46.0,23.5,7.0,09:24:24
46.0,23.5,8.0,09:24:55
45.0,23.5,8.0,09:25:25
46.0,23.5,8.0,09:25:56
46.0,23.5,8.0,09:26:26
45.0,23.5,8.0,09:26:57
45.0,23.5,8.0,09:27:27
46.0,23.5,8.0,09:27:58
45.0,23.5,8.0,09:28:28
46.0,23.5,8.0,09:28:59
46.0,23.5,8.0,09:29:30
46.0,23.5,8.0,09:30:00
45.0,23.5,8.0,09:30:31
46.0,23.5,8.0,09:31:01
46.0,23.5,8.0,09:31:32
46.0,23.5,8.0,09:32:02
46.0,23.5,8.0,09:32:33
46.0,23.5,10.0,09:33:03
46.0,23.5,10.0,09:33:34
46.0,23.5,10.0,09:34:05
46.0,23.5,10.0,09:34:35
45.0,23.5,10.0,09:35:06
46.0,23.5,10.0,09:35:36
45.0,23.4,10.0,09:36:07
47.0,23.4,10.0,09:36:37
47.0,23.4,10.0,09:37:08
46.0,23.4,10.0,09:37:38
46.0,23.4,10.0,09:38:09
47.0,23.4,10.0,09:38:40
46.0,23.4,10.0,09:39:10
46.0,23.3,10.0,09:39:41
46.0,23.3,10.0,09:40:11
50.0,23.4,10.0,09:40:42
46.0,23.4,10.0,09:41:12
46.0,23.4,10.0,09:41:43
46.0,23.4,10.0,09:42:13
46.0,23.5,10.0,09:42:44
47.0,23.5,10.0,09:43:15
47.0,23.6,10.0,09:43:45
47.0,23.6,10.0,09:44:16
47.0,23.6,10.0,09:44:46
46.0,23.7,10.0,09:45:17
46.0,23.8,10.0,09:45:47
47.0,23.8,10.0,09:46:18
46.0,23.8,10.0,09:46:48
47.0,23.8,10.0,09:47:19
46.0,23.8,10.0,09:47:50
46.0,23.8,10.0,09:48:20
46.0,23.7,10.0,09:48:51
46.0,23.7,10.0,09:49:21
46.0,23.6,10.0,09:49:52
46.0,23.6,10.0,09:50:22
46.0,23.6,10.0,09:50:53
47.0,23.6,10.0,09:51:23
46.0,23.5,9.0,09:51:54
46.0,23.5,9.0,09:52:25
47.0,23.5,9.0,09:52:55
46.0,23.5,9.0,09:53:26
47.0,23.5,9.0,09:53:56
46.0,23.5,9.0,09:54:27
46.0,23.5,8.0,09:54:57
46.0,23.4,9.0,09:55:28
46.0,23.5,9.0,09:55:58
46.0,23.6,9.0,09:56:29
47.0,23.6,9.0,09:57:00
46.0,23.5,10.0,09:57:30
47.0,23.5,10.0,09:58:01
46.0,23.4,10.0,09:58:31
47.0,23.4,10.0,09:59:02
47.0,23.4,10.0,09:59:32
46.0,23.4,10.0,10:00:03
48.0,23.4,9.0,10:00:33
